Date : 2026-05-28 13:43:34
Directory : /home/dedyas/Documents/smk-skill-bridge
Total : 50 files,  12093 codes, 34 comments, 148 blanks, all 12275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     10,076 |          0 |          6 |     10,082 |
| TypeScript JSX     |         17 |      1,358 |         22 |         80 |      1,460 |
| TypeScript         |         14 |        525 |          2 |         33 |        560 |
| PostCSS            |          1 |         52 |          8 |          9 |         69 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |         50 |     12,093 |         34 |        148 |     12,275 |
| . (Files)                                                                    |          7 |      8,156 |          3 |         25 |      8,184 |
| app                                                                          |         36 |      3,423 |         31 |        123 |      3,577 |
| app (Files)                                                                  |          3 |        130 |          8 |         16 |        154 |
| app/api                                                                      |          8 |        315 |          1 |         14 |        330 |
| app/api/clear                                                                |          1 |          4 |          0 |          1 |          5 |
| app/api/question                                                             |          3 |         73 |          0 |          3 |         76 |
| app/api/question (Files)                                                     |          1 |          5 |          0 |          0 |          5 |
| app/api/question/[division]                                                  |          1 |         21 |          0 |          0 |         21 |
| app/api/question/division                                                    |          1 |         47 |          0 |          3 |         50 |
| app/api/results                                                              |          2 |        228 |          1 |          8 |        237 |
| app/api/results (Files)                                                      |          1 |        163 |          1 |          5 |        169 |
| app/api/results/[id]                                                         |          1 |         65 |          0 |          3 |         68 |
| app/api/vocations                                                            |          2 |         10 |          0 |          2 |         12 |
| app/api/vocations (Files)                                                    |          1 |          5 |          0 |          1 |          6 |
| app/api/vocations/division                                                   |          1 |          5 |          0 |          1 |          6 |
| app/components                                                               |         11 |        537 |          0 |         37 |        574 |
| app/components (Files)                                                       |         10 |        502 |          0 |         34 |        536 |
| app/components/skeleton                                                      |          1 |         35 |          0 |          3 |         38 |
| app/data                                                                     |          5 |      1,495 |          0 |          4 |      1,499 |
| app/data/question                                                            |          3 |      1,022 |          0 |          3 |      1,025 |
| app/data/vocation                                                            |          2 |        473 |          0 |          1 |        474 |
| app/lib                                                                      |          3 |        178 |          0 |         11 |        189 |
| app/models                                                                   |          2 |         25 |          0 |          5 |         30 |
| app/questions                                                                |          3 |        438 |         21 |         27 |        486 |
| app/questions (Files)                                                        |          2 |        404 |         21 |         24 |        449 |
| app/questions/[division]                                                     |          1 |         34 |          0 |          3 |         37 |
| app/result                                                                   |          1 |        305 |          1 |          9 |        315 |
| app/result/[id]                                                              |          1 |        305 |          1 |          9 |        315 |
| public                                                                       |          7 |        514 |          0 |          0 |        514 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/dedyas/Documents/smk-skill-bridge/README.md                            | Markdown           |         23 |          0 |         14 |         37 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/clear/route.ts               | TypeScript         |          4 |          0 |          1 |          5 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/question/[division]/route.ts | TypeScript         |         21 |          0 |          0 |         21 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/question/division/route.ts   | TypeScript         |         47 |          0 |          3 |         50 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/question/route.ts            | TypeScript         |          5 |          0 |          0 |          5 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/results/[id]/route.ts        | TypeScript         |         65 |          0 |          3 |         68 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/results/route.ts             | TypeScript         |        163 |          1 |          5 |        169 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/vocations/division/route.ts  | TypeScript         |          5 |          0 |          1 |          6 |
| /home/dedyas/Documents/smk-skill-bridge/app/api/vocations/route.ts           | TypeScript         |          5 |          0 |          1 |          6 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Footer.tsx            | TypeScript JSX     |         37 |          0 |          2 |         39 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Hero.tsx              | TypeScript JSX     |         86 |          0 |          1 |         87 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Home.tsx              | TypeScript JSX     |         80 |          0 |          9 |         89 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Modal.tsx             | TypeScript JSX     |          7 |          0 |          2 |          9 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Modalbox.tsx          | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Navbar.tsx            | TypeScript JSX     |         83 |          0 |          3 |         86 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Primarybox.tsx        | TypeScript JSX     |         49 |          0 |          3 |         52 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Questions.tsx         | TypeScript JSX     |         47 |          0 |          5 |         52 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/SkeletonBox.tsx       | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/Vocation.tsx          | TypeScript JSX     |         95 |          0 |          5 |        100 |
| /home/dedyas/Documents/smk-skill-bridge/app/components/skeleton/Question.tsx | TypeScript JSX     |         35 |          0 |          3 |         38 |
| /home/dedyas/Documents/smk-skill-bridge/app/data/question/bangunan.json      | JSON               |        401 |          0 |          1 |        402 |
| /home/dedyas/Documents/smk-skill-bridge/app/data/question/informatika.json   | JSON               |        226 |          0 |          1 |        227 |
| /home/dedyas/Documents/smk-skill-bridge/app/data/question/mesin.json         | JSON               |        395 |          0 |          1 |        396 |
| /home/dedyas/Documents/smk-skill-bridge/app/data/vocation/division.json      | JSON               |        161 |          0 |          1 |        162 |
| /home/dedyas/Documents/smk-skill-bridge/app/data/vocation/vocations.json     | JSON               |        312 |          0 |          0 |        312 |
| /home/dedyas/Documents/smk-skill-bridge/app/globals.css                      | PostCSS            |         52 |          8 |          9 |         69 |
| /home/dedyas/Documents/smk-skill-bridge/app/layout.tsx                       | TypeScript JSX     |         30 |          0 |          5 |         35 |
| /home/dedyas/Documents/smk-skill-bridge/app/lib/checkdata.ts                 | TypeScript         |        156 |          0 |          8 |        164 |
| /home/dedyas/Documents/smk-skill-bridge/app/lib/decrypt.ts                   | TypeScript         |          6 |          0 |          0 |          6 |
| /home/dedyas/Documents/smk-skill-bridge/app/lib/mongodb.ts                   | TypeScript         |         16 |          0 |          3 |         19 |
| /home/dedyas/Documents/smk-skill-bridge/app/models/resultSchema.ts           | TypeScript         |         13 |          0 |          3 |         16 |
| /home/dedyas/Documents/smk-skill-bridge/app/models/testSchema.ts             | TypeScript         |         12 |          0 |          2 |         14 |
| /home/dedyas/Documents/smk-skill-bridge/app/page.tsx                         | TypeScript JSX     |         48 |          0 |          2 |         50 |
| /home/dedyas/Documents/smk-skill-bridge/app/questions/General.tsx            | TypeScript JSX     |        114 |          2 |          5 |        121 |
| /home/dedyas/Documents/smk-skill-bridge/app/questions/[division]/page.tsx    | TypeScript JSX     |         34 |          0 |          3 |         37 |
| /home/dedyas/Documents/smk-skill-bridge/app/questions/page.tsx               | TypeScript JSX     |        290 |         19 |         19 |        328 |
| /home/dedyas/Documents/smk-skill-bridge/app/result/[id]/page.tsx             | TypeScript JSX     |        305 |          1 |          9 |        315 |
| /home/dedyas/Documents/smk-skill-bridge/eslint.config.mjs                    | JavaScript         |         14 |          2 |          3 |         19 |
| /home/dedyas/Documents/smk-skill-bridge/next.config.ts                       | TypeScript         |          7 |          1 |          3 |         11 |
| /home/dedyas/Documents/smk-skill-bridge/package-lock.json                    | JSON               |      8,032 |          0 |          1 |      8,033 |
| /home/dedyas/Documents/smk-skill-bridge/package.json                         | JSON               |         40 |          0 |          1 |         41 |
| /home/dedyas/Documents/smk-skill-bridge/postcss.config.mjs                   | JavaScript         |          6 |          0 |          2 |          8 |
| /home/dedyas/Documents/smk-skill-bridge/public/file.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/dedyas/Documents/smk-skill-bridge/public/globe.svg                     | XML                |          1 |          0 |          0 |          1 |
| /home/dedyas/Documents/smk-skill-bridge/public/majors.json                   | JSON               |        173 |          0 |          0 |        173 |
| /home/dedyas/Documents/smk-skill-bridge/public/next.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/dedyas/Documents/smk-skill-bridge/public/questions.json                | JSON               |        336 |          0 |          0 |        336 |
| /home/dedyas/Documents/smk-skill-bridge/public/vercel.svg                    | XML                |          1 |          0 |          0 |          1 |
| /home/dedyas/Documents/smk-skill-bridge/public/window.svg                    | XML                |          1 |          0 |          0 |          1 |
| /home/dedyas/Documents/smk-skill-bridge/tsconfig.json                        | JSON with Comments |         34 |          0 |          1 |         35 |
| Total                                                                        |                    |     12,093 |         34 |        148 |     12,275 |
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
